Pos.,Sexe,Nom,freq,permil
211,H,ahmed,6785,0.87
212,H,lucas,6756,0.87
213,D,mar,6722,0.86
214,D,ines,6683,0.86
215,D,emilia,6675,0.86
216,D,lorena,6640,0.85
217,H,mohammed,6606,0.85
218,D,magdalena,6590,0.85
219,D,noemi,6584,0.84
220,H,francesc xavier,6508,0.84
221,D,eva maria,6462,0.83
222,H,aitor,6448,0.83
223,H,adam,6414,0.82
224,H,roberto,6407,0.82
225,D,joana,6387,0.82
226,D,luisa,6307,0.81
227,D,helena,6243,0.8
228,H,nicolas,6239,0.8
229,H,sebastian,6080,0.78
230,H,julian,6073,0.78
231,H,guillermo,6072,0.78
232,D,maria elena,6060,0.78
233,D,catalina,5998,0.77
234,D,neus,5979,0.77
235,H,martin,5970,0.77
236,D,aurora,5955,0.76
237,H,ricard,5944,0.76
238,H,izan,5802,0.74
239,D,blanca,5756,0.74
240,D,carlota,5700,0.73
241,H,manel,5634,0.72
242,D,maria victoria,5597,0.72
243,D,alexandra,5550,0.71
244,H,felix,5542,0.71
245,H,julio,5486,0.7
246,H,bruno,5484,0.7
247,D,valentina,5461,0.7
248,D,adriana,5419,0.7
249,D,vanesa,5394,0.69
250,D,rocio,5343,0.69
251,D,dolors,5334,0.68
252,D,tania,5294,0.68
253,H,muhammad,5263,0.68
254,D,maria cristina,5222,0.67
255,H,didac,5140,0.66
256,H,youssef,5059,0.65
257,H,leo,5052,0.65
258,H,omar,5049,0.65
259,D,consuelo,5048,0.65
260,H,domingo,5036,0.65
261,H,andreu,5013,0.64
262,D,ramona,4978,0.64
263,D,amparo,4958,0.64
264,D,nora,4925,0.63
265,H,bernat,4870,0.62
266,D,maria asuncion,4857,0.62
267,H,edgar,4835,0.62
268,D,aida,4824,0.62
269,D,maria angels,4820,0.62
270,D,araceli,4800,0.62
271,H,aaron,4792,0.61
272,H,esteban,4722,0.61
273,D,ana isabel,4692,0.6
274,D,celia,4669,0.6
275,H,abel,4658,0.6
276,D,elisabeth,4657,0.6
277,D,trinidad,4633,0.59
278,H,jose miguel,4621,0.59
279,H,samuel,4602,0.59
280,H,alexandre,4566,0.59
281,H,max,4504,0.58
282,H,erik,4476,0.57
283,D,eulalia,4473,0.57
284,D,maria lourdes,4472,0.57
285,D,estefania,4462,0.57
286,D,purificacion,4399,0.56
287,D,valeria,4389,0.56
288,D,nadia,4382,0.56
289,D,esperanza,4362,0.56
290,H,ian,4310,0.55
291,D,asuncion,4303,0.55
292,D,elvira,4291,0.55
292,D,gisela,4291,0.55
294,H,jonatan,4270,0.55
295,D,elisa,4255,0.55
296,H,juan francisco,4250,0.55
297,H,alfredo,4242,0.54
298,H,felipe,4223,0.54
299,D,ingrid,4170,0.54
300,H,eloi,4167,0.53
301,H,marcel,4162,0.53
302,H,jonathan,4159,0.53
303,D,matilde,4148,0.53
304,H,jose ramon,4139,0.53
305,H,mariano,4056,0.52
306,D,arlet,4044,0.52
307,D,natividad,4021,0.52
308,D,maria merce,3988,0.51
309,D,georgina,3969,0.51
310,D,remedios,3897,0.5
311,D,alejandra,3879,0.5
312,H,cristobal,3861,0.5
313,H,ignasi,3856,0.49
314,H,cesar,3842,0.49
315,H,unai,3839,0.49
316,H,christian,3833,0.49
317,D,ivet,3812,0.49
318,D,elsa,3783,0.49
319,D,jennifer,3734,0.48
320,H,kevin,3730,0.48
321,D,rafaela,3709,0.48
322,H,lluc,3698,0.47
323,H,ali,3694,0.47
324,D,iris,3691,0.47
325,H,lorenzo,3659,0.47
326,H,robert,3649,0.47
327,D,khadija,3648,0.47
327,D,nieves,3648,0.47
329,D,maria rosario,3623,0.46
330,D,adela,3607,0.46
331,H,mateo,3597,0.46
332,D,lara,3581,0.46
333,D,ruth,3580,0.46
334,H,roc,3560,0.46
335,D,soledad,3553,0.46
336,D,diana,3542,0.45
337,D,joaquina,3526,0.45
338,D,maria nieves,3510,0.45
339,D,aitana,3503,0.45
340,D,xenia,3490,0.45
341,D,elia,3483,0.45
342,D,maria concepcion,3481,0.45
343,D,maria soledad,3467,0.44
344,H,said,3448,0.44
345,D,maria cinta,3435,0.44
346,D,virginia,3407,0.44
347,D,maria de los angeles,3371,0.43
348,D,mia,3351,0.43
349,D,ainara,3260,0.42
350,D,ana belen,3242,0.42
351,D,enriqueta,3192,0.41
352,D,tamara,3188,0.41
353,H,rachid,3179,0.41
354,H,gonzalo,3177,0.41
355,D,sheila,3164,0.41
356,D,milagros,3161,0.41
357,D,leonor,3155,0.4
358,D,mariana,3125,0.4
359,D,aroa,3099,0.4
360,D,irina,3088,0.4
361,D,maria eugenia,3085,0.4
362,D,amalia,3077,0.39
363,H,isidro,3038,0.39
364,D,bruna,3035,0.39
365,H,german,2987,0.38
366,D,maria gloria,2980,0.38
367,D,ascension,2932,0.38
368,D,concepcio,2930,0.38
369,H,gregorio,2914,0.37
370,D,olivia,2904,0.37
371,H,juan ramon,2899,0.37
372,D,chloe,2878,0.37
373,D,francesca,2870,0.37
374,H,enzo,2861,0.37
375,H,mustapha,2845,0.37
376,D,elisenda,2836,0.36
377,H,genis,2827,0.36
378,H,arturo,2826,0.36
379,D,maria luz,2809,0.36
380,H,eloy,2799,0.36
381,D,rosalia,2791,0.36
382,H,victor manuel,2786,0.36
383,H,axel,2780,0.36
384,H,valentin,2759,0.35
385,D,cecilia,2755,0.35
386,D,aya,2738,0.35
387,D,rebeca,2703,0.35
388,D,alexia,2702,0.35
389,H,federico,2701,0.35
390,D,leire,2685,0.34
391,H,alan,2677,0.34
392,D,lia,2632,0.34
393,D,vicenta,2608,0.33
394,D,erika,2602,0.33
395,D,mariam,2601,0.33
396,H,juan miguel,2599,0.33
396,D,queralt,2599,0.33
