IDQUEST	ANY_NAIX	P1	P2	P3_A	P3_B	P3_C	P3_D	P3BIS	P4_A	P4_B	P4_C	P4_D	P5_A	P5_B	P5_C	P5_D	P6	P7	P8_A	P8_B	P8_C	P8_D	P9_A	P9_B	P9_C	P9_D	P10	P11	P15	P17	P18	P22	P23	P25	P26	P30	P31	P35	P39	P40	P42	P43	P47	P48	P50A	P50B	P50C	P51A	P51B	P51C	P56	P60	P64	P65	P66	P70	P73	P74	P75	P79	P81	P85	P89	P93	P97	P101	P105	P109	P116	P117	P118	P119	P120	P121	P122	P123	P124	P128A_1	P128A_2	P128A_3	P128A_4	P128B_1	P128B_2	P128B_3	P128B_4	P128C_1	P128C_2	P128C_3	P128C_4	P128D_1	P128D_2	P128D_3	P128D_4	P128E_1	P128E_2	P128E_3	P128E_4	P129	P130	P130A	P130B	P131	P132	P134	P135	SEXE	SIT_PROF	AMBIT_TERRITORIAL	EDAT_5	CAL
118	1979	3	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	2	 	3	5	2	2	5	2	2	2	1	1	5	1	2	 	2	5	142	0	 	 	 	 	 	 	4	2	1	1	5	1	1	1	5	3	1	5	1	1	99	5	5	5	1	3	2	2	1	2	2	1	14	10	10	10	6	10	10	10	10	7	3	7	2	5	5	0	0	8	8	8	8	2	1	 	 	2	2002	3	1	1	3	7	5	19797
218	1973	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	999	2	 	 	 	1	1	1	1	3	1	1	2	10	4	1	2	10	4	10	99	1	1	1	1	1	1	1	 	 	11	 	 	14	10	2	 	99	1	2	 	14	14	3	3	11	14	99	3	3	14	1	2	2	2	2	2	99	1	14	10	10	10	10	10	10	10	10	10	10	10	10	5	4	4	4	0	0	0	0	2	2	 	 	1	0	3	1	1	4	7	6	19897
318	2001	2	 	1	2	1	2	 	1	1	1	1	1	2	1	2	193	2	2	 	 	 	1	1	1	1	5	5	3	3	5	2	3	2	5	193	5	6	3	 	 	 	 	0	 	 	 	 	 	 	5	5	1	1	6	7	 	 	99	99	8	5	5	5	5	5	5	5	98	4	5	1	4	3	3	1	5	8	3	6	2	10	10	10	10	8	3	6	2	10	9	10	9	1	0	0	0	2	2	 	 	3	2004	3	2	6	99	7	1	20699
418	1974	2	 	2	 	 	 	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	2	2	 	2	5	2	2	5	2	2	4	5	2	5	5	1	1	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	2	 	5	5	5	5	5	5	5	5	5	5	2	4	5	1	99	99	99	1	12	0	0	0	0	10	10	10	10	10	10	8	8	8	5	0	0	8	9	9	9	2	2	 	3	2	1993	4	1	6	4	7	6	16849
518	1977	2	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	2	2	 	 	 	1	1	1	1	3	5	2	3	5	2	2	2	5	2	5	5	1	1	2	5	2	1	1	 	 	5	 	 	5	5	2	 	99	1	2	 	5	6	5	5	5	5	5	5	5	5	4	4	5	2	4	2	3	1	5	10	8	10	6	10	10	10	10	10	6	10	0	9	8	8	7	6	6	6	6	2	2	 	 	2	1996	3	1	6	4	7	6	16849
618	1977	2	 	1	1	1	2	 	1	1	1	1	1	2	2	 	999	2	2	 	 	 	2	 	 	 	1	99	2	1	5	99	2	1	5	142	5	97	2	 	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	2	 	5	88	5	5	5	5	5	5	5	5	1	4	5	1	2	2	2	1	5	8	5	8	0	10	10	10	10	6	0	4	0	0	0	0	0	0	0	0	0	2	2	 	 	2	1990	2	1	6	4	7	6	16849
718	1973	4	 	1	1	1	2	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	2	3	12	1	2	10	4	1	3	10	4	10	10	1	1	2	5	2	1	1	 	 	12	 	 	12	12	2	 	99	1	1	1	10	3	12	12	12	10	11	5	12	12	98	3	2	2	4	3	3	1	2	8	7	8	5	10	10	10	10	9	9	9	9	8	9	7	7	0	0	0	0	2	2	 	 	1	0	3	1	1	3	7	6	19897
818	1945	4	 	1	1	2	 	 	1	1	1	1	1	1	1	2	4	4	2	 	 	 	1	1	2	 	3	10	1	2	10	4	1	2	10	2	10	10	1	1	1	10	4	1	1	 	 	10	 	 	13	12	2	 	99	4	1	2	12	9	12	12	11	12	2	5	5	99	1	3	2	2	2	2	2	1	3	10	10	5	0	10	10	10	9	10	10	7	0	8	8	2	0	0	0	0	0	2	2	 	5	1	0	2	1	6	1	7	12	19257
918	1977	2	 	2	 	 	 	 	1	1	1	1	2	 	 	 	108	2	2	 	 	 	1	1	1	1	2	6	3	1	6	108	3	99	6	108	6	6	2	 	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	3	 	5	5	5	5	5	5	5	5	5	8	98	98	5	1	3	2	99	2	3	3	0	4	0	10	10	10	10	0	0	0	0	6	6	6	6	0	0	0	0	2	99	 	 	3	2006	2	2	1	5	7	6	20431
1018	1977	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	1	1	1	1	4	5	2	2	5	2	1	3	5	4	5	12	1	1	1	5	2	2	1	1	 	5	5	 	4	5	2	 	99	1	1	1	5	14	5	5	5	5	1	5	5	5	2	3	1	2	2	2	1	1	14	9	9	9	9	10	10	10	10	9	9	9	7	7	6	6	6	8	8	8	8	2	2	 	 	1	0	3	1	1	3	7	6	19897
1118	1963	4	 	1	1	1	2	 	1	1	1	1	1	1	1	2	4	4	2	 	 	 	1	1	1	1	4	10	1	2	10	4	1	1	10	4	10	10	1	1	1	10	4	2	1	1	 	10	10	 	12	12	2	 	99	1	2	 	14	14	11	1	2	10	1	3	5	5	99	3	2	2	3	1	2	1	13	10	10	10	5	10	10	10	10	10	10	9	7	8	8	9	6	0	0	0	0	2	2	 	 	1	0	2	1	1	4	7	8	19770
1218	1974	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	2	 	 	 	1	1	1	1	3	5	1	2	5	2	2	2	5	2	5	5	1	1	1	5	2	2	1	1	 	5	5	 	5	5	2	 	99	8	 	 	99	99	5	5	5	5	5	5	5	5	1	4	5	2	2	2	2	1	14	10	8	10	7	10	10	10	10	9	6	9	5	9	8	9	8	0	0	0	0	2	2	 	 	1	0	3	1	6	99	7	6	16933
1318	1941	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	142	2	1	1	1	1	1	1	1	1	3	10	2	1	6	142	2	2	6	142	6	6	1	1	1	12	4	2	1	1	 	12	12	 	5	10	2	 	99	4	2	 	5	5	5	5	5	5	5	5	5	5	2	3	2	2	2	1	2	1	14	8	7	7	6	10	10	10	10	8	7	7	5	7	7	7	7	7	7	7	7	2	2	 	 	2	1971	4	1	1	4	7	13	18479
1418	1943	2	 	1	2	1	2	 	1	1	1	1	1	2	1	2	2	2	2	 	 	 	1	1	1	2	2	5	2	1	5	2	2	1	5	2	5	5	1	1	2	5	2	3	1	1	1	5	5	5	5	5	2	 	99	4	2	 	5	8	5	5	5	5	5	5	5	5	2	4	5	1	99	1	99	1	3	8	4	8	3	10	10	10	10	5	0	5	0	5	5	5	0	0	0	0	0	2	2	 	5	2	1969	2	1	1	4	7	12	18479
1518	1960	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	1	5	10	1	2	10	4	1	2	10	4	10	10	1	1	1	10	4	3	3	1	1	10	10	10	14	14	2	 	99	1	2	 	14	14	14	14	2	10	1	2	14	12	1	1	2	2	4	1	99	1	14	10	10	10	10	10	10	10	10	10	10	10	10	8	6	7	6	0	0	0	0	2	2	 	 	1	0	4	1	6	4	7	9	17782
1618	1983	2	 	1	1	1	2	 	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	2	5	2	4	5	2	2	4	5	2	5	5	1	1	1	5	1	0	 	 	 	 	 	 	4	4	2	 	99	1	2	 	5	9	4	3	5	5	4	4	4	4	5	3	2	2	2	1	99	1	14	10	7	8	5	10	10	10	10	5	0	7	0	6	6	5	5	8	8	7	6	1	1	7	 	2	2009	4	1	6	4	7	4	16849
1718	1947	3	 	1	1	1	1	 	1	1	1	1	1	2	1	2	1	3	2	 	 	 	1	2	2	 	2	3	1	2	1	1	2	2	1	2	1	1	1	1	2	5	2	2	1	1	 	2	2	 	3	2	2	 	99	4	3	 	4	2	3	3	1	3	3	3	3	1	1	2	2	2	3	1	1	1	9	10	10	10	5	10	10	10	10	8	0	7	3	4	0	4	0	0	0	0	0	2	2	 	5	1	0	2	1	6	5	7	12	19257
1818	1967	3	 	1	1	1	1	 	1	1	1	1	1	1	2	 	2	2	2	 	 	 	1	1	1	1	2	3	2	1	5	2	2	2	5	2	5	5	1	1	1	5	2	1	1	 	 	3	 	 	3	3	2	 	99	1	2	 	4	8	1	1	1	1	1	1	1	3	1	1	2	2	1	2	2	1	14	10	10	10	10	10	10	10	10	9	4	4	4	8	8	8	8	0	0	0	0	2	1	 	 	1	0	3	1	6	4	7	8	17782
1918	1963	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	2	 	 	 	1	1	1	1	3	8	2	1	5	2	2	2	5	2	5	5	1	1	3	8	2	2	3	3	 	5	5	 	5	12	2	 	99	2	2	 	10	14	5	5	5	10	1	5	5	5	5	4	5	2	3	2	2	1	16	9	8	8	6	10	10	10	10	10	6	10	6	10	10	8	6	0	0	0	0	2	2	 	4	1	0	2	1	1	4	7	8	19770
2018	1949	2	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	99	2	99	5	2	1	3	5	2	5	97	3	 	 	 	 	2	3	1	 	5	5	 	5	5	2	 	99	1	1	2	5	8	5	5	5	5	5	5	5	5	1	4	5	1	1	1	1	1	9	8	6	10	5	10	10	10	10	7	0	7	0	7	7	7	5	7	7	7	6	2	2	 	 	2	1970	4	1	1	1	7	11	18479
2118	1935	2	 	1	2	1	2	 	1	1	1	1	1	2	1	2	2	2	2	 	 	 	1	2	2	 	1	99	2	1	5	2	2	99	99	2	5	97	2	 	1	5	4	0	 	 	 	 	 	 	5	5	2	 	99	8	 	 	99	99	5	5	5	5	5	5	5	5	1	4	5	1	2	1	1	1	5	5	2	2	0	10	10	10	10	9	2	2	0	2	0	0	0	0	0	0	0	2	1	 	 	2	1959	2	1	6	99	7	14	19161
2218	1968	2	 	1	1	1	2	 	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	1	1	99	2	3	5	998	2	1	5	998	5	5	3	 	 	 	 	0	 	 	 	 	 	 	9	4	2	 	99	1	1	2	3	3	3	3	5	3	99	99	99	4	1	2	2	2	2	1	1	1	15	9	6	5	2	10	10	10	10	8	2	4	0	8	8	8	7	7	7	7	6	2	1	7	 	2	2005	4	1	6	1	7	7	17693
2318	1953	2	 	1	2	1	2	 	1	1	1	1	1	2	1	2	2	2	1	1	1	2	1	1	1	2	2	5	1	2	5	2	2	4	5	2	97	97	2	 	1	5	2	2	1	1	 	5	5	 	5	5	2	 	99	4	1	2	5	8	5	5	5	5	5	5	5	5	1	4	5	1	2	2	2	1	5	6	0	4	0	10	10	10	10	6	0	4	0	6	6	5	3	6	5	4	4	1	2	 	5	2	1966	3	1	6	1	7	10	17693
2418	1967	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	1	1	6	10	1	3	10	4	2	3	10	142	10	5	1	1	1	11	1	2	1	1	 	10	10	 	14	13	2	 	99	1	1	2	5	15	10	5	10	10	99	5	13	12	2	2	2	2	3	2	2	1	14	10	10	10	10	10	10	10	10	10	10	10	10	9	9	9	9	5	5	5	5	2	1	 	 	1	0	3	1	6	1	7	8	17782
2518	1980	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	1	4	1	1	1	1	1	1	1	2	4	11	1	4	1	1	1	3	11	4	1	10	1	1	1	10	2	2	1	1	 	11	11	 	14	14	2	 	99	1	1	1	99	14	14	14	14	14	99	4	12	4	99	2	2	2	2	2	2	99	14	10	10	10	10	10	10	10	10	10	10	10	10	7	6	6	5	6	6	6	5	2	2	 	 	1	0	3	1	6	3	7	5	16933
2618	2001	1	 	1	1	1	1	 	1	1	1	1	1	1	1	1	99	1	1	2	1	1	1	1	1	1	3	1	1	99	1	99	1	99	1	1	1	1	2	 	1	1	2	0	 	 	 	 	 	 	3	99	1	1	3	7	 	 	99	99	5	5	1	10	99	99	5	3	1	1	2	2	4	99	1	1	2	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	10	7	4	8	6	2	2	 	 	1	0	3	1	1	99	7	1	21126
2718	1968	1	 	1	1	1	1	 	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	1	1	1	3	1	1	4	1	2	1	4	1	1	1	1	3	 	 	 	 	0	 	 	 	 	 	 	2	1	2	 	99	4	2	 	3	1	5	5	1	1	1	5	4	2	2	2	2	2	2	1	1	1	3	10	10	10	10	10	10	10	10	8	5	8	5	6	5	5	6	7	5	7	3	2	1	 	 	1	0	3	1	6	4	7	7	17782
2818	1996	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	1	1	1	4	5	1	3	5	2	1	3	5	2	5	5	1	2	1	1	2	0	 	 	 	 	 	 	14	14	2	 	99	1	2	 	2	2	1	1	1	10	1	1	1	14	1	2	2	2	2	2	1	1	14	10	10	10	10	10	10	10	10	10	10	10	10	6	6	6	6	5	5	5	5	2	2	 	 	1	0	3	1	1	4	7	2	21126
2918	1997	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	2	1	2	2	 	 	 	4	12	1	4	5	2	99	3	10	4	5	10	3	 	 	 	 	0	 	 	 	 	 	 	14	10	1	1	14	7	 	 	99	99	99	99	11	10	99	12	14	14	4	3	2	2	2	2	2	1	14	10	10	10	8	10	10	10	10	10	10	10	9	1	0	0	0	4	2	4	3	2	2	 	 	1	2015	3	1	1	99	7	2	21126
3018	1953	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	999	4	2	 	 	 	1	1	1	1	2	10	1	2	10	4	1	2	1	1	10	1	1	1	1	10	4	2	1	1	 	10	10	 	14	10	2	 	99	8	 	 	99	99	12	5	14	10	1	5	5	12	1	3	2	2	3	2	99	1	11	10	10	9	8	10	10	10	10	10	10	10	10	8	8	8	7	0	0	0	0	1	2	 	 	1	0	3	1	6	99	7	10	17782
3118	1939	4	 	1	1	1	2	 	1	1	1	1	1	1	1	2	4	4	2	 	 	 	1	1	1	1	3	10	1	3	10	4	1	3	10	4	10	97	1	1	1	10	4	2	1	1	 	10	10	 	14	14	2	 	99	4	 	 	99	99	14	14	14	14	99	5	14	99	1	1	2	2	4	99	2	1	14	10	10	10	0	10	10	10	7	10	10	10	0	7	7	7	7	0	0	0	0	2	2	 	5	1	0	3	1	6	99	7	13	19257
3218	1979	139	 	1	2	1	2	 	1	1	1	1	1	1	1	2	139	999	1	1	1	1	1	1	1	1	4	6	3	4	6	139	3	4	6	139	6	6	1	1	1	6	4	2	1	1	 	6	6	 	5	5	2	 	99	1	2	 	5	8	5	5	5	5	99	5	5	8	1	4	5	1	1	99	2	1	14	5	0	7	0	8	8	8	8	7	5	7	4	10	10	10	10	7	7	7	7	2	1	 	 	3	2011	4	2	1	4	7	5	20431
3318	1954	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	2	1	2	1	1	1	1	2	5	1	1	10	1	1	2	10	4	97	97	1	1	1	5	2	2	1	1	 	10	10	 	12	10	2	 	99	1	2	 	10	12	12	10	10	10	99	1	1	10	1	4	5	2	1	1	1	1	14	10	10	10	8	10	10	10	10	10	10	10	10	8	8	10	5	3	2	3	2	1	2	 	5	1	0	4	1	1	4	7	10	19770
3418	1966	2	 	1	1	1	1	 	1	1	1	1	1	1	1	1	2	2	1	1	1	1	2	 	 	 	1	99	2	1	5	2	2	2	5	2	5	5	3	 	 	 	 	0	 	 	 	 	 	 	14	14	2	 	99	1	2	 	14	2	14	3	2	1	1	3	3	3	1	1	2	2	1	2	2	1	14	10	10	10	10	10	10	10	10	9	5	6	7	0	0	0	0	9	8	10	10	2	2	 	 	2	1976	4	1	1	4	7	8	19672
3518	1952	2	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	2	2	 	 	 	1	2	2	 	2	5	2	2	5	2	2	2	5	2	5	97	1	1	1	5	1	2	1	1	 	5	5	 	5	5	2	 	99	4	4	 	5	5	5	5	5	5	5	5	5	5	2	4	5	1	1	2	2	1	5	9	5	9	5	10	10	10	10	7	0	7	0	4	0	5	0	0	0	0	0	2	2	 	 	2	1969	3	1	1	6	7	11	18479
3618	1965	2	 	1	1	1	2	 	1	1	1	1	1	2	1	2	2	2	2	 	 	 	2	 	 	 	3	5	2	1	5	2	2	99	5	2	5	5	2	 	2	5	2	2	1	1	 	5	5	 	5	5	2	 	99	1	2	 	5	5	5	5	5	5	5	5	5	5	1	3	2	1	1	2	2	1	4	8	5	8	0	10	10	10	10	8	0	6	0	5	0	3	0	0	0	0	0	2	1	7	 	2	1986	2	1	6	4	7	8	17693
3718	1958	2	 	1	1	1	2	 	1	1	1	1	1	1	1	2	999	999	1	2	2	 	1	1	1	1	2	4	2	3	99	998	2	4	5	999	5	5	1	1	1	5	2	0	 	 	 	 	 	 	12	14	1	1	5	1	2	 	14	14	4	4	4	3	3	4	4	4	4	3	99	2	2	2	2	1	14	10	7	10	4	10	10	10	10	8	5	7	3	8	7	7	5	5	5	6	2	1	1	 	 	2	1989	4	1	6	4	7	9	17693
3818	1958	1	 	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	1	1	1	1	1	2	1	1	1	97	1	1	1	1	4	2	1	1	 	1	1	 	1	1	2	 	99	1	2	 	2	3	1	1	1	1	99	3	1	1	1	1	1	2	2	1	1	1	1	10	10	10	10	10	10	10	10	10	6	8	5	8	6	6	5	6	6	6	6	1	2	 	 	1	0	4	1	6	4	7	9	17782
3918	1973	139	 	1	2	1	2	 	1	1	1	1	1	2	2	 	139	2	1	1	1	1	1	1	1	1	4	8	3	4	6	139	3	4	6	139	6	6	1	1	1	8	2	2	3	3	 	8	8	 	5	5	2	 	99	99	 	 	99	99	5	5	5	5	5	5	5	5	99	4	5	3	4	99	99	1	5	4	3	8	2	9	9	9	9	8	4	6	2	10	10	10	10	8	7	7	7	2	1	 	 	3	0	4	2	6	99	7	6	17388
4018	1975	3	 	1	1	1	1	 	1	1	1	1	1	2	1	2	2	3	1	1	1	1	1	1	1	2	3	5	2	3	5	2	2	3	5	2	5	5	1	1	2	5	2	0	 	 	 	 	 	 	4	3	2	 	99	1	2	 	3	2	3	3	1	1	1	4	2	4	1	2	2	2	3	2	3	1	14	10	10	10	10	10	10	10	10	8	4	6	3	7	7	7	5	6	6	7	7	2	1	7	 	1	0	3	1	1	4	7	6	19897
4118	1966	1	 	1	1	1	1	 	1	1	1	1	1	2	1	2	1	3	1	1	1	1	1	1	1	1	2	1	1	2	1	2	1	3	1	1	1	1	1	1	1	1	1	0	 	 	 	 	 	 	4	2	1	2	8	1	1	2	5	9	1	2	1	1	1	1	1	3	1	1	2	2	4	2	1	1	2	10	10	10	9	10	10	10	10	10	2	8	0	9	9	9	9	8	8	8	6	2	99	 	 	1	0	4	1	6	1	7	8	17782
4218	1974	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	2	4	10	1	2	10	4	1	3	10	4	10	10	1	1	1	10	4	2	1	1	 	10	10	 	12	12	2	 	99	1	2	 	12	3	4	4	3	10	2	3	3	12	1	3	2	2	3	2	2	1	3	10	7	7	5	10	10	10	10	10	10	10	7	7	6	5	4	2	0	0	0	2	2	 	 	1	0	3	1	1	4	7	6	19897
4318	1943	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	2	2	 	1	1	1	1	3	10	1	2	10	1	1	3	10	4	10	5	3	 	 	 	 	0	 	 	 	 	 	 	14	14	2	 	99	4	1	2	5	15	10	10	10	14	14	14	5	5	1	2	2	2	2	99	99	1	14	10	10	10	5	10	10	10	10	10	10	10	5	9	9	9	9	4	4	0	0	2	2	 	 	1	0	3	1	6	1	7	12	19257
4418	1973	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	1	2	2	 	1	1	1	1	4	11	1	2	10	4	1	2	10	1	97	97	1	2	1	10	1	2	1	1	 	10	10	 	14	10	2	 	99	9	1	3	14	2	10	10	10	10	1	1	10	11	1	2	2	1	2	3	3	1	10	10	10	10	8	10	10	10	8	10	10	10	7	7	7	7	5	5	4	3	0	2	2	 	 	1	0	3	1	1	2	7	6	19897
4518	1983	2	 	1	1	1	2	 	1	1	1	1	1	1	1	2	2	2	1	1	2	 	1	1	1	2	4	5	3	3	5	2	3	3	5	2	5	5	1	1	3	5	2	2	3	1	 	5	5	 	5	5	2	 	99	1	1	1	5	5	5	5	5	5	5	5	5	5	1	4	99	1	3	3	3	1	5	2	3	5	0	10	10	10	10	3	2	3	0	3	1	4	0	4	3	4	0	2	2	 	 	3	2004	4	2	6	3	7	4	17388
4618	1979	2	 	1	2	1	2	 	1	1	1	1	1	2	1	2	2	2	1	1	1	1	1	1	1	2	3	5	2	3	5	2	2	2	5	2	5	5	1	1	2	5	2	1	1	 	 	5	 	 	5	5	1	1	5	1	3	 	5	5	5	5	5	5	5	5	5	5	1	4	5	1	2	2	2	1	12	6	0	4	0	10	10	10	10	6	0	3	0	4	3	3	0	8	8	8	6	2	1	7	 	2	2013	4	1	6	5	7	5	16849
4718	1964	2	 	1	2	1	2	 	1	1	1	1	1	2	1	2	2	2	1	2	1	1	1	2	1	1	4	5	2	2	5	2	2	2	5	2	97	97	1	1	1	5	2	2	3	3	 	5	5	 	5	5	2	 	99	1	2	 	5	5	5	5	5	5	5	5	5	5	1	4	5	1	3	2	2	1	14	8	0	8	0	10	10	10	10	8	0	8	0	6	6	6	6	5	5	5	5	2	99	 	 	2	1985	3	1	6	4	7	8	17693
4818	1965	3	 	1	2	1	2	 	1	1	1	1	2	 	 	 	2	2	2	 	 	 	2	 	 	 	2	5	2	1	5	2	2	1	5	2	5	5	1	1	1	5	1	0	 	 	 	 	 	 	5	5	1	2	5	1	1	1	5	5	5	5	5	5	5	5	5	4	2	4	5	1	1	1	1	1	14	6	1	8	0	8	8	8	8	2	0	0	0	2	2	4	0	5	4	6	6	2	1	7	 	2	2010	3	1	6	3	7	8	17693
4918	1950	999	 	1	1	1	2	 	1	1	1	1	1	1	1	2	2	2	2	 	 	 	2	 	 	 	4	12	2	1	5	2	2	1	5	2	5	97	1	1	1	12	2	3	1	1	1	12	12	12	12	12	2	 	99	4	1	2	12	4	5	5	5	12	5	5	5	99	4	4	5	1	99	99	99	1	14	10	4	7	2	10	10	10	10	10	6	7	2	3	0	1	0	0	0	0	0	2	99	 	 	1	0	2	1	1	1	7	11	18572
5018	1930	4	 	1	1	1	2	 	1	1	1	1	1	1	1	2	4	4	2	 	 	 	1	1	1	2	1	99	1	2	10	4	1	2	10	4	10	10	3	 	 	 	 	0	 	 	 	 	 	 	14	14	2	 	99	1	1	1	99	14	14	14	14	10	99	99	5	99	98	3	2	2	99	3	1	1	14	10	10	10	0	10	10	10	10	10	10	10	0	7	7	7	0	0	0	0	0	2	2	 	 	1	0	2	1	1	3	7	15	18572
5118	1983	197	998	1	2	2	 	 	1	1	1	1	1	2	2	 	197	2	1	1	1	1	1	1	2	 	2	5	3	2	6	998	3	2	6	197	6	6	2	 	3	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	2	 	8	8	5	5	5	5	5	5	5	5	4	4	5	4	3	2	2	1	14	10	8	5	5	10	10	10	8	6	2	1	0	9	7	3	3	10	9	9	9	2	1	 	 	3	2005	3	2	6	4	7	4	17388
5218	1980	197	 	1	1	1	1	 	1	1	1	1	1	2	2	 	197	2	2	 	 	 	1	1	1	1	4	8	3	2	6	197	3	2	6	197	6	6	1	1	3	6	197	2	2	1	 	8	8	 	8	5	2	 	99	1	2	 	5	5	5	5	5	5	5	5	5	8	5	4	5	2	3	2	3	1	99	8	4	8	4	9	9	9	9	5	4	5	3	9	9	9	9	5	0	0	0	2	99	 	 	3	2002	3	2	6	4	7	5	17388
5318	1965	1	 	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	1	99	1	4	1	1	1	4	1	1	1	1	2	 	1	1	1	0	 	 	 	 	 	 	2	2	2	 	99	1	3	 	3	2	1	1	1	1	1	1	1	2	1	1	2	2	3	99	99	1	2	10	10	10	10	10	10	9	10	8	7	7	7	6	5	5	5	4	3	3	3	2	2	 	 	1	0	3	1	1	5	7	8	19770
5418	1974	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	3	4	1	1	1	1	1	1	1	1	5	14	3	3	5	999	1	2	1	1	10	97	1	1	1	1	1	2	1	1	 	5	5	 	14	10	2	 	99	1	3	 	10	14	14	14	14	10	10	10	5	14	2	3	2	2	3	3	3	1	14	10	9	10	10	10	10	10	10	10	10	10	10	10	10	10	8	10	10	10	8	2	2	 	4	1	0	3	1	1	5	7	6	19897
5518	1937	1	 	1	1	1	1	 	1	1	1	1	1	1	1	1	1	1	2	 	 	 	1	2	2	 	2	1	1	2	1	1	1	2	1	1	1	1	1	1	1	1	4	4	1	1	1	1	1	1	3	14	2	 	99	4	 	 	99	99	14	14	11	11	99	1	5	99	1	2	2	2	4	3	99	1	14	10	10	10	6	10	10	10	10	10	6	6	6	5	0	0	0	0	0	0	0	1	2	 	5	1	0	2	1	6	99	7	14	19257
5618	1957	4	 	1	1	1	1	 	1	1	1	1	1	1	1	2	4	1	2	 	 	 	1	1	1	2	3	14	1	2	10	1	1	2	10	4	1	97	1	1	1	5	2	2	1	1	 	1	1	 	11	11	2	 	99	1	2	 	1	1	14	14	1	10	1	14	14	14	98	2	2	2	2	2	99	1	14	10	10	10	10	10	10	10	10	10	10	10	5	7	6	7	5	0	0	0	0	1	1	 	 	1	0	3	1	6	4	7	10	17782
5718	1983	1	 	1	1	1	1	 	1	1	1	1	1	2	1	2	3	2	1	1	1	1	2	 	 	 	3	1	1	3	1	2	1	2	1	1	5	1	1	2	1	5	2	0	 	 	 	 	 	 	4	2	1	1	2	1	2	 	1	3	4	4	1	1	1	1	1	3	1	3	99	2	2	1	2	1	3	10	10	10	10	10	10	10	10	5	0	4	0	2	0	0	0	6	6	9	6	2	2	 	 	1	0	4	1	6	4	7	4	16933
5818	1945	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	2	2	14	1	2	10	4	1	2	10	4	10	10	1	1	1	11	1	3	1	1	1	10	10	10	14	14	2	 	99	4	1	2	14	1	14	14	14	11	1	4	14	14	1	2	2	2	1	2	2	1	14	10	10	10	8	10	10	10	8	10	10	10	6	8	8	8	6	0	0	0	0	2	1	 	 	1	0	3	1	6	1	7	12	19257
5918	1967	4	 	1	1	1	1	 	1	1	1	1	1	1	1	1	4	4	2	 	 	 	1	1	1	1	2	10	1	2	10	4	1	2	10	4	10	97	1	2	1	1	1	1	1	 	 	10	 	 	11	11	1	2	6	1	2	 	11	11	12	2	11	11	2	4	3	14	99	3	2	2	2	99	99	1	14	10	10	10	10	10	10	10	10	10	10	10	10	8	8	7	7	3	0	1	0	1	1	 	 	1	0	3	1	6	4	7	8	17782
6018	1942	4	 	1	1	2	 	 	1	1	1	1	1	1	2	 	4	4	2	 	 	 	1	1	2	 	1	99	1	1	10	4	1	1	10	4	10	10	3	 	 	 	 	0	 	 	 	 	 	 	14	14	2	 	99	4	1	1	10	11	14	14	14	10	99	5	5	99	98	3	2	2	1	2	2	1	10	10	6	2	0	10	10	10	8	10	10	4	0	4	3	0	0	0	0	0	0	2	2	 	 	1	0	2	1	1	3	7	13	18572
