IDQUEST	ANY_NAIX	P1	P2	P3_A	P3_B	P3_C	P3_D	P3BIS	P4_A	P4_B	P4_C	P4_D	P5_A	P5_B	P5_C	P5_D	P6	P7	P8_A	P8_B	P8_C	P8_D	P9_A	P9_B	P9_C	P9_D	P10	P11	P15	P17	P18	P22	P23	P25	P26	P30	P31	P35	P39	P40	P42	P43	P47	P48	P50A	P50B	P50C	P51A	P51B	P51C	P56	P60	P64	P65	P66	P70	P73	P74	P75	P79	P81	P85	P89	P93	P97	P101	P105	P109	P116	P117	P118	P119	P120	P121	P122	P123	P124	P128A_1	P128A_2	P128A_3	P128A_4	P128B_1	P128B_2	P128B_3	P128B_4	P128C_1	P128C_2	P128C_3	P128C_4	P128D_1	P128D_2	P128D_3	P128D_4	P128E_1	P128E_2	P128E_3	P128E_4	P129	P130	P130A	P130B	P131	P132	P134	P135	SEXE	SIT_PROF	AMBIT_TERRITORIAL	EDAT_5	CAL
489418	1995	998	998	1	1	1	1	 	1	1	1	1	 	 	 	 	998	2	1	1	1	1	2	 	 	 	4	6	3	2	6	998	3	2	6	998	6	6	1	1	3	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	1	1	5	3	5	5	5	5	5	5	5	5	5	4	5	1	1	1	1	2	3	6	6	6	6	9	9	9	9	 	 	 	 	0	0	0	0	8	8	8	8	1	1	 	 	3	2008	3	3	1	3	1	2	1489864
489518	1976	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	1	1	1	2	 	 	 	1	99	3	1	5	193	2	1	5	2	8	5	1	2	2	5	2	0	 	 	 	 	 	 	5	5	2	 	99	1	1	1	3	3	5	5	5	1	1	5	5	4	1	3	2	2	2	1	1	1	3	10	8	10	8	10	9	9	9	 	 	 	 	0	0	0	0	6	5	5	5	2	2	 	 	1	0	3	1	1	3	1	6	1366524
489618	1981	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	4	4	1	2	5	2	2	3	5	2	5	5	1	1	1	5	2	3	1	1	1	5	5	5	5	5	2	 	99	2	2	 	2	2	5	5	5	5	5	5	5	5	5	3	2	2	3	1	2	2	3	8	7	7	5	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	 	1	0	2	1	6	4	1	5	1162989
489718	1974	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	2	 	 	 	2	 	 	 	4	3	1	1	5	2	1	2	1	1	5	97	1	1	2	5	2	2	1	1	 	1	1	 	3	3	2	 	99	1	2	 	3	3	3	3	2	2	1	2	3	3	1	2	2	2	1	2	2	1	2	10	10	10	10	10	10	10	10	 	 	 	 	4	0	0	0	3	3	2	4	1	1	 	 	1	0	4	1	6	4	1	6	1162989
489818	1976	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	3	1	1	2	 	1	1	2	 	6	3	1	2	3	3	1	99	3	3	7	97	1	1	1	2	1	2	1	1	 	3	3	 	3	3	2	 	99	1	2	 	3	9	3	3	3	3	3	3	3	3	1	2	2	2	2	2	99	2	9	10	10	10	10	10	10	10	10	 	 	 	 	4	3	0	0	4	4	0	0	2	2	 	 	1	0	2	1	6	4	1	6	1162989
489918	1958	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	2	2	 	 	 	2	 	 	 	4	5	1	2	1	1	1	2	1	1	1	5	1	1	1	5	2	2	1	1	 	3	3	 	3	3	2	 	99	2	2	 	3	3	3	3	3	4	2	5	3	3	1	3	2	2	4	3	3	1	2	10	10	10	10	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	1	1	 	 	1	0	2	1	1	4	1	9	1357845
490018	1967	2	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	2	1	2	2	 	2	 	 	 	3	4	2	1	5	2	2	1	5	2	5	5	1	1	1	4	2	1	1	 	 	4	 	 	4	4	2	 	99	1	2	 	3	88	3	3	3	3	3	3	3	3	1	2	2	2	2	2	2	1	3	10	9	10	8	10	9	10	9	 	 	 	 	0	0	0	0	7	7	8	7	2	99	 	 	1	0	3	1	1	4	1	8	1357845
490118	1958	1	 	1	1	1	1	 	1	1	1	1	 	 	 	 	1	1	1	1	1	1	2	 	 	 	4	1	1	1	1	1	1	1	1	1	1	1	1	1	2	1	2	2	1	1	 	1	1	 	2	2	2	 	99	4	2	 	2	2	1	2	1	1	1	3	1	2	1	1	2	2	2	2	2	1	2	10	10	10	7	10	10	10	10	 	 	 	 	2	2	4	4	3	4	6	4	1	2	 	 	1	0	4	1	1	4	1	9	1357845
490218	1975	3	 	1	1	1	1	 	1	1	1	1	 	 	 	 	2	3	1	2	1	2	2	 	 	 	4	2	1	3	4	2	2	2	5	2	5	5	1	1	1	4	2	2	1	1	 	1	1	 	2	3	2	 	99	1	2	 	3	2	2	2	1	1	1	1	1	3	1	2	2	2	2	2	2	1	2	10	10	10	10	10	10	10	10	 	 	 	 	4	1	5	0	5	5	7	5	2	2	 	 	1	0	3	1	6	4	1	6	1162989
490318	1931	2	 	1	1	1	2	 	1	1	1	1	 	 	 	 	2	2	2	 	 	 	2	 	 	 	3	5	2	1	5	99	1	1	5	2	5	5	1	1	2	5	2	1	1	 	 	5	 	 	5	5	2	 	99	4	2	 	5	5	5	5	5	5	5	5	5	99	98	4	5	2	4	99	3	2	5	10	9	8	7	10	10	10	10	 	 	 	 	0	0	0	0	0	0	0	0	2	2	 	5	1	0	2	1	1	4	1	15	1275538
